Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,-9999
91,Lukáš Ambros,cz CZE,MF,Wolfsburg,de Bundesliga,18-277,2004,0.2,9,1,3,5,1,0,9,1,0,0.0,1,100.0,4,28,7,0,0,0,0,0,4,0,Matches,cd682b6b
92,Kelvin Amian,fr FRA,DF,Spezia,it Serie A,25-029,1998,14.7,769,63,286,307,180,24,769,13,8,61.5,3,23.1,344,1855,992,22,14,1,12,6,401,42,Matches,bcc81786
93,Bruno Amione,ar ARG,DF,Hellas Verona,it Serie A,21-065,2002,0.6,20,9,17,4,0,0,20,0,0,,0,,7,22,8,0,0,0,0,0,4,0,Matches,2df7cc43
94,Bruno Amione,ar ARG,DF,Sampdoria,it Serie A,21-065,2002,12.8,727,65,407,276,53,12,727,2,0,0.0,2,100.0,358,1419,554,5,9,0,12,0,369,7,Matches,2df7cc43
95,Nadiem Amiri,de GER,MFFW,Leverkusen,de Bundesliga,26-133,1996,7.8,432,9,65,252,120,9,432,28,14,50.0,11,39.3,242,1494,750,21,19,4,10,4,305,25,Matches,555d5edd
96,Ethan Ampadu,wls WAL,DFMF,Spezia,it Serie A,22-176,2000,18.1,1108,105,461,556,106,13,1108,5,3,60.0,1,20.0,564,3262,1658,15,10,0,10,4,626,9,Matches,10b9fa99
97,Sofyan Amrabat,ma MAR,MF,Fiorentina,it Serie A,26-200,1996,16.4,1195,29,191,813,206,4,1195,13,7,53.8,5,38.5,799,4728,2214,29,23,0,19,14,860,19,Matches,5a2cb25d
98,Ayoub Amraoui,fr FRA,DF,Nice,fr Ligue 1,18-299,2004,2.0,144,4,48,61,35,1,144,3,2,66.7,0,0.0,99,342,152,3,4,0,3,1,107,12,Matches,ae11ba3d
99,Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,26-282,1996,19.4,1441,268,826,566,54,26,1441,6,3,50.0,3,50.0,805,3876,1997,5,4,2,7,2,930,5,Matches,e34fc66d
100,Elliot Anderson,sct SCO,MFFW,Newcastle Utd,eng Premier League,20-123,2002,1.6,115,2,17,37,64,22,115,14,2,14.3,8,57.1,72,518,281,15,5,9,3,5,75,14,Matches,de31038e
101,Felipe Anderson,br BRA,FW,Lazio,it Serie A,29-328,1993,21.4,1156,16,133,530,511,86,1156,68,32,47.1,33,48.5,611,3526,1635,57,43,21,60,32,865,150,Matches,9f1893b9
102,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,32-218,1990,23.5,1972,84,465,1265,261,24,1972,28,16,57.1,10,35.7,1418,7085,3160,32,33,0,29,30,1366,29,Matches,ef9c1c95
103,Komnen Andrić,rs SRB,FW,Clermont Foot,fr Ligue 1,27-251,1995,14.5,554,12,37,322,198,51,552,13,5,38.5,6,46.2,389,1951,440,9,13,4,43,25,443,84,Matches,af3ddb2e
104,Robert Andrich,de GER,MF,Leverkusen,de Bundesliga,28-168,1994,18.7,1237,80,386,729,126,13,1237,2,1,50.0,1,50.0,491,2346,1131,8,9,1,17,2,784,5,Matches,e0b113a7
105,Angeliño,es ESP,DF,Hoffenheim,de Bundesliga,26-064,1997,20.7,1290,46,348,559,388,24,1290,17,7,41.2,7,41.2,601,2355,1070,17,18,1,21,13,717,100,Matches,30941e96
106,Fabrizio Angileri,ar ARG,DF,Getafe,es La Liga,28-359,1994,5.8,284,16,76,144,64,3,284,9,3,33.3,5,55.6,105,462,199,4,5,0,4,1,127,11,Matches,fdd26d71
