Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
105,Angeliño,es ESP,DF,Hoffenheim,de Bundesliga,26-064,1997,20.7,0,16,3,18.8,0.77,0.14,0.00,0.00,19.9,2,0,0,0.9,0.9,0.06,-0.9,-0.9,Matches,30941e96
106,Fabrizio Angileri,ar ARG,DF,Getafe,es La Liga,28-359,1994,5.8,0,3,0,0.0,0.52,0.00,0.00,,23.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,fdd26d71
107,Jaidon Anthony,eng ENG,MFFW,Bournemouth,eng Premier League,23-098,1999,9.5,3,18,10,55.6,1.89,1.05,0.17,0.30,19.8,2,0,0,1.5,1.5,0.08,+1.5,+1.5,Matches,e4238fb1
108,Janis Antiste,fr FRA,FW,Sassuolo,it Serie A,20-203,2002,0.6,1,1,1,100.0,1.73,1.73,1.00,1.00,17.3,0,0,0,0.2,0.2,0.18,+0.8,+0.8,Matches,38d9ce53
109,Waldemar Anton,de GER,DF,Stuttgart,de Bundesliga,26-232,1996,22.4,1,18,4,22.2,0.80,0.18,0.06,0.25,17.4,0,0,0,1.4,1.4,0.08,-0.4,-0.4,Matches,5e66fa06
110,Marcos Antônio,br BRA,MF,Lazio,it Serie A,22-269,2000,3.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,108fe016
111,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,32-346,1990,12.5,3,25,9,36.0,1.99,0.72,0.12,0.33,13.4,0,0,0,3.4,3.4,0.14,-0.4,-0.4,Matches,ac05f970
112,Antony,br BRA,FW,Manchester Utd,eng Premier League,23-013,2000,11.1,3,35,16,45.7,3.16,1.44,0.09,0.19,20.6,0,0,0,2.8,2.8,0.08,+0.2,+0.2,Matches,99127249
113,Valentin Antov,bg BUL,DF,Monza,it Serie A,22-120,2000,1.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,8f68aa41
114,Christopher Antwi-Adjei,gh GHA,FWMF,Bochum,de Bundesliga,29-030,1994,11.8,2,19,6,31.6,1.62,0.51,0.11,0.33,18.4,0,0,0,1.9,1.9,0.10,+0.1,+0.1,Matches,0a3f6cde
